Płeć,Wiek,Wykształcenie,Średnie Zarobki,Czas Początkowy Podróży,Czas Końcowy Podróży,Cel Podróży
Mężczyzna,46.0,Wyższe,4873.63,06:55,12:59,Praca
Kobieta,62.0,Wyższe,13251.98,19:11,22:34,Rozrywka
Mężczyzna,49.0,Średnie,9303.58,23:49,07:02,
Mężczyzna,30.0,Wyższe,5026.95,09:38,13:07,Edukacja
Kobieta,36.0,Wyższe,11034.35,08:27,13:51,Edukacja
Mężczyzna,19.0,Średnie,6858.4,18:09,00:54,Edukacja
Kobieta,55.0,Podstawowe,8618.59,05:23,12:19,Zakupy
Mężczyzna,51.0,Średnie,14944.03,05:28,15:07,Praca
Kobieta,61.0,Wyższe,10067.34,06:11,08:14,Zakupy
Mężczyzna,60.0,Wyższe,10983.56,19:18,21:20,Edukacja
Mężczyzna,40.0,Średnie,11742.68,19:37,03:10,Rozrywka
Kobieta,21.0,Średnie,7862.02,21:11,05:02,Inne
Mężczyzna,51.0,Podstawowe,11567.06,23:59,07:11,Praca
Kobieta,18.0,Średnie,7309.31,23:40,06:22,Inne
Kobieta,42.0,Podstawowe,5675.06,09:36,15:37,Zakupy
Kobieta,19.0,Podstawowe,9016.07,18:56,04:41,Praca
Mężczyzna,63.0,Podstawowe,11386.1,21:33,23:47,Inne
Mężczyzna,59.0,Średnie,4983.77,12:22,12:59,Zakupy
Kobieta,41.0,Średnie,9286.02,20:24,04:32,Praca
Mężczyzna,36.0,Podstawowe,14002.3,13:30,18:45,Inne
Kobieta,51.0,Podstawowe,3243.09,12:54,19:01,Inne
Kobieta,65.0,Wyższe,7582.77,21:42,23:12,Zakupy
Kobieta,31.0,Średnie,13072.79,06:17,06:52,Inne
Mężczyzna,46.0,Podstawowe,3861.9,05:42,09:33,Zakupy
Mężczyzna,38.0,Wyższe,5846.01,05:17,14:18,Praca
Mężczyzna,51.0,Średnie,9575.05,12:06,23:30,Edukacja
Kobieta,48.0,Średnie,6998.98,19:16,20:04,Inne
Mężczyzna,31.0,Średnie,13729.71,17:25,19:39,Rozrywka
Kobieta,23.0,Średnie,6744.49,08:50,13:41,Rozrywka
Mężczyzna,59.0,Średnie,3272.66,10:03,17:16,Edukacja
Mężczyzna,40.0,Podstawowe,5772.97,29:58,11:44,Praca
Kobieta,56.0,Podstawowe,8564.34,06:20,14:36,Rozrywka
Mężczyzna,69.0,Średnie,3766.28,17:25,23:04,Inne
Kobieta,57.0,Średnie,10705.12,05:59,08:43,Praca
Mężczyzna,56.0,Podstawowe,14421.76,23:19,08:46,Edukacja
Mężczyzna,43.0,Wyższe,3495.85,11:47,13:37,Rozrywka
Mężczyzna,20.0,Wyższe,13444.03,20:16,03:15,Praca
Kobieta,69.0,Średnie,9507.82,14:04,19:30,Rozrywka
Mężczyzna,36.0,Wyższe,7227.31,09:32,17:41,Praca
Kobieta,63.0,Wyższe,8596.2,20:35,03:42,Zakupy
Mężczyzna,25.0,Średnie,5880.33,06:32,06:04,Edukacja
Kobieta,66.0,Średnie,10674.5,16:53,01:56,Zakupy
Mężczyzna,31.0,Wyższe,5626.32,05:09,16:13,Praca
Kobieta,18.0,Wyższe,13053.72,21:20,03:46,Inne
Kobieta,22.0,Średnie,13309.7,20:07,07:28,Rozrywka
Mężczyzna,35.0,Podstawowe,14557.42,23:16,02:07,Inne
Mężczyzna,23.0,Wyższe,7170.38,11:17,11:58,Edukacja
Kobieta,41.0,Średnie,6934.2,22:33,23:55,Edukacja
Mężczyzna,32.0,Podstawowe,4748.89,13:04,15:58,Rozrywka
Mężczyzna,35.0,Średnie,10961.34,09:46,16:20,Praca
Kobieta,20.0,Średnie,11775.12,14:45,00:00,Edukacja
Kobieta,20.0,Podstawowe,10160.27,05:09,11:11,Zakupy
Kobieta,34.0,Wyższe,9261.93,09:54,16:06,Inne
Mężczyzna,45.0,Średnie,11432.6,22:25,06:37,Inne
,,,11084.06,,17:05,
Kobieta,69.0,Średnie,6231.4,18:58,20:22,Rozrywka
Mężczyzna,36.0,Podstawowe,9850.08,15:40,15:39,Inne
Mężczyzna,39.0,Średnie,6752.43,23:50,01:35,Praca
Mężczyzna,22.0,Wyższe,10137.92,05:33,06:57,Edukacja
,46.0,Średnie,,,,
Mężczyzna,57.0,Podstawowe,10622.8,25:04,00:37,Zakupy
Mężczyzna,41.0,Podstawowe,10635.34,07:19,11:10,Rozrywka
Kobieta,43.0,Średnie,3699.19,05:52,06:13,Zakupy
Mężczyzna,52.0,Średnie,7886.9,22:35,04:33,Praca
Kobieta,35.0,,13601.31,22:55,01:46,Inne
Mężczyzna,70.0,Podstawowe,8248.36,15:39,19:00,Zakupy
Kobieta,22.0,Średnie,12367.3,17:42,17:57,Zakupy
Mężczyzna,20.0,Średnie,6272.65,23:40,06:59,Praca
Mężczyzna,39.0,Podstawowe,9803.02,17:28,00:06,Inne
Mężczyzna,64.0,Wyższe,13146.74,06:13,12:36,Edukacja
Mężczyzna,55.0,Średnie,12518.21,13:24,19:59,Edukacja
Kobieta,62.0,,3211.86,12:46,21:07,Rozrywka
Kobieta,45.0,Wyższe,9358.28,08:19,13:24,Zakupy
Kobieta,32.0,Wyższe,14599.63,14:31,23:03,Zakupy
Kobieta,30.0,Wyższe,10635.41,12:37,18:12,Zakupy
Kobieta,20.0,Średnie,11954.19,21:05,22:15,Rozrywka
Mężczyzna,60.0,Średnie,9668.21,12:50,20:04,Praca
Kobieta,23.0,Średnie,12689.23,09:07,11:30,Zakupy
Kobieta,70.0,Podstawowe,10969.05,17:48,04:41,Rozrywka
Kobieta,64.0,Średnie,9515.85,14:08,14:33,Praca
Mężczyzna,22.0,Podstawowe,3637.63,08:46,08:07,Zakupy
Kobieta,27.0,Wyższe,4023.91,07:50,09:39,Rozrywka
Mężczyzna,51.0,Średnie,13177.23,17:29,03:12,Inne
Mężczyzna,27.0,Średnie,9727.96,13:45,18:09,Praca
,66.0,Wyższe,6385.85,08:12,08:32,Inne
Mężczyzna,44.0,Średnie,9508.74,15:56,00:45,Rozrywka
Mężczyzna,68.0,Podstawowe,7595.8,13:42,15:27,Zakupy
Kobieta,51.0,Podstawowe,13781.64,19:41,23:32,Zakupy
Kobieta,28.0,Wyższe,7616.98,22:32,03:37,Zakupy
Kobieta,40.0,Wyższe,3986.12,14:56,15:51,Zakupy
Mężczyzna,57.0,Podstawowe,6323.9,06:44,07:44,Inne
Mężczyzna,36.0,Średnie,12742.87,11:07,12:48,Praca
Kobieta,54.0,Wyższe,4985.04,09:30,17:34,Edukacja
Mężczyzna,42.0,Średnie,10013.38,09:05,20:34,Edukacja
Kobieta,57.0,Średnie,9019.87,15:04,17:40,Edukacja
Kobieta,32.0,Średnie,3662.23,17:19,20:43,Inne
Kobieta,45.0,Wyższe,12797.93,11:33,16:29,Praca
Mężczyzna,18.0,Podstawowe,6937.02,15:14,17:37,Edukacja
Kobieta,62.0,Wyższe,10597.78,20:40,22:27,Zakupy
Mężczyzna,35.0,Średnie,4546.45,11:19,17:55,Zakupy
Mężczyzna,70.0,Wyższe,11025.2,13:56,13:18,Praca
Mężczyzna,60.0,Wyższe,,23:32,06:56,Rozrywka
Mężczyzna,70.0,Wyższe,13267.25,23:11,07:33,Rozrywka
Mężczyzna,67.0,Wyższe,7964.92,22:07,06:14,Praca
Mężczyzna,43.0,Podstawowe,4337.24,08:30,14:49,Edukacja
Kobieta,51.0,Podstawowe,12521.45,11:10,15:59,Edukacja
Kobieta,60.0,Średnie,4830.42,19:59,00:10,Zakupy
Kobieta,60.0,Wyższe,8964.38,11:26,17:56,Rozrywka
Kobieta,45.0,Podstawowe,9719.47,09:49,19:05,Zakupy
Mężczyzna,63.0,Wyższe,13289.53,06:08,10:25,Inne
Mężczyzna,52.0,Średnie,6649.02,13:29,15:14,Rozrywka
Kobieta,28.0,Wyższe,4364.28,14:05,17:28,Edukacja
Kobieta,38.0,Podstawowe,14084.12,12:44,20:02,Rozrywka
Kobieta,40.0,Wyższe,11847.71,23:55,04:57,Inne
Kobieta,37.0,Wyższe,5371.98,23:09,02:53,Praca
Kobieta,56.0,Wyższe,9871.25,21:58,07:55,Edukacja
Mężczyzna,46.0,Podstawowe,10034.58,17:28,20:15,Zakupy
Kobieta,28.0,Wyższe,8974.84,12:06,23:20,Praca
Mężczyzna,29.0,Podstawowe,9993.15,05:09,08:47,Praca
Kobieta,36.0,Podstawowe,11646.2,05:32,13:07,Edukacja
Kobieta,54.0,Podstawowe,13360.71,19:27,01:20,Inne
Kobieta,33.0,Podstawowe,7241.48,08:37,09:55,Inne
Mężczyzna,38.0,Średnie,14693.66,12:58,15:33,Zakupy
Kobieta,65.0,,,,,
Mężczyzna,62.0,Wyższe,5727.55,19:15,20:02,Edukacja
Mężczyzna,53.0,Wyższe,12894.66,06:55,17:07,Edukacja
Kobieta,36.0,Podstawowe,7879.18,07:44,10:58,Praca
Mężczyzna,32.0,Wyższe,13532.41,19:12,05:46,Edukacja
Kobieta,19.0,Średnie,8251.16,15:26,02:45,Zakupy
Mężczyzna,58.0,Podstawowe,3049.94,11:19,16:26,Inne
Mężczyzna,29.0,Wyższe,5637.64,05:53,06:41,Edukacja
Kobieta,57.0,Średnie,8396.78,06:20,15:33,Edukacja
Kobieta,40.0,Podstawowe,9924.43,08:02,10:12,Praca
Mężczyzna,46.0,Podstawowe,8038.51,06:05,08:57,Inne
Kobieta,51.0,Podstawowe,8383.98,09:05,19:37,Zakupy
Mężczyzna,67.0,Podstawowe,11227.69,20:46,23:06,Rozrywka
Kobieta,44.0,Podstawowe,9432.84,11:01,16:25,Zakupy
Mężczyzna,44.0,Podstawowe,13208.19,07:48,12:54,Praca
Kobieta,55.0,Podstawowe,14277.04,12:13,14:25,Edukacja
Mężczyzna,31.0,Średnie,5293.25,13:03,21:29,Zakupy
Kobieta,32.0,Średnie,3429.61,20:50,04:35,Rozrywka
Kobieta,53.0,Średnie,7414.2,07:27,14:42,Zakupy
Mężczyzna,26.0,Średnie,5406.66,06:19,13:41,Zakupy
Kobieta,46.0,Wyższe,9669.28,10:14,16:47,Zakupy
Kobieta,18.0,Średnie,14110.97,22:19,02:34,Edukacja
Kobieta,67.0,Wyższe,6602.08,12:33,16:53,Praca
Mężczyzna,45.0,Podstawowe,9687.11,23:48,08:55,Zakupy
Mężczyzna,52.0,Wyższe,11619.11,16:18,23:53,Zakupy
Mężczyzna,24.0,Wyższe,4162.36,12:37,23:00,Rozrywka
Mężczyzna,38.0,Wyższe,6418.92,14:53,01:34,Zakupy
Mężczyzna,50.0,Podstawowe,9668.9,10:09,12:38,Praca
Kobieta,35.0,Wyższe,5723.01,15:16,22:38,Inne
Kobieta,36.0,Średnie,7176.79,10:23,20:43,Inne
Kobieta,43.0,Średnie,6923.95,23:44,07:02,Inne
Kobieta,70.0,Podstawowe,7201.01,13:01,23:41,Edukacja
Mężczyzna,42.0,Średnie,9826.94,23:09,06:14,Praca
Kobieta,50.0,Podstawowe,12868.54,07:00,15:32,Zakupy
Kobieta,51.0,Podstawowe,3488.79,12:50,15:01,Rozrywka
Kobieta,61.0,Średnie,13801.39,08:25,19:05,Rozrywka
Kobieta,18.0,Podstawowe,3807.82,11:35,13:47,Praca
Kobieta,50.0,Podstawowe,6080.45,18:23,04:18,Edukacja
Kobieta,65.0,Wyższe,10675.08,15:22,02:39,Inne
Mężczyzna,51.0,Wyższe,6100.33,13:56,20:55,Inne
Kobieta,68.0,Podstawowe,10770.55,06:01,09:52,Inne
,45.0,,,,,Rozrywka
Kobieta,68.0,Podstawowe,7880.23,13:59,15:39,Rozrywka
Kobieta,67.0,Podstawowe,7929.41,16:33,16:40,Inne
Mężczyzna,35.0,Średnie,7235.4,15:38,20:53,Praca
Mężczyzna,59.0,Podstawowe,12641.62,23:52,08:29,Edukacja
Kobieta,60.0,Średnie,8875.26,17:31,00:16,Edukacja
Kobieta,56.0,Średnie,4737.47,22:20,06:53,Edukacja
Mężczyzna,39.0,Wyższe,13683.26,16:28,00:42,Praca
Mężczyzna,55.0,Podstawowe,6740.32,22:36,23:24,Edukacja
Kobieta,70.0,Podstawowe,11006.41,18:00,01:37,Rozrywka
Mężczyzna,21.0,Podstawowe,10412.41,22:33,02:43,Zakupy
Kobieta,27.0,Wyższe,12139.79,21:57,08:40,Praca
Mężczyzna,46.0,Średnie,13327.42,21:08,02:11,Praca
Kobieta,57.0,Średnie,10410.59,18:59,23:18,Zakupy
Mężczyzna,39.0,Średnie,6648.46,22:18,06:52,Rozrywka
Kobieta,29.0,Wyższe,10116.46,06:02,08:11,Edukacja
Kobieta,23.0,Podstawowe,10338.56,18:59,19:55,Edukacja
Mężczyzna,60.0,Podstawowe,5012.84,17:45,00:00,Praca
Mężczyzna,59.0,Podstawowe,7621.65,07:11,07:48,Inne
Mężczyzna,22.0,Średnie,4229.17,20:53,23:04,Praca
Kobieta,42.0,Średnie,7762.98,23:22,01:56,Praca
Mężczyzna,60.0,Wyższe,12447.18,14:44,20:45,Zakupy
Mężczyzna,68.0,Wyższe,10671.71,08:00,13:52,Zakupy
Mężczyzna,70.0,Średnie,11206.92,17:15,04:28,Edukacja
Kobieta,33.0,Wyższe,11328.7,21:39,06:10,Inne
Kobieta,31.0,Wyższe,8569.39,17:46,04:42,Edukacja
Kobieta,21.0,Podstawowe,9822.21,11:47,14:49,Edukacja
Mężczyzna,24.0,Wyższe,9804.75,17:37,19:04,Inne
Mężczyzna,55.0,Wyższe,8016.79,19:50,20:21,Rozrywka
Kobieta,49.0,Wyższe,9730.13,22:35,05:04,Zakupy
Mężczyzna,23.0,Wyższe,3740.17,07:00,14:50,Zakupy
Mężczyzna,43.0,Wyższe,8501.38,14:22,23:13,Edukacja
Mężczyzna,44.0,Średnie,8496.31,21:47,00:52,Zakupy
Mężczyzna,43.0,Podstawowe,3251.28,11:04,21:19,Inne
Kobieta,56.0,Średnie,,12:34,19:06,Rozrywka
Mężczyzna,61.0,Średnie,7537.45,15:26,20:34,Rozrywka
Kobieta,25.0,Wyższe,11670.3,13:31,02:42,Rozrywka
Kobieta,49.0,Podstawowe,7620.56,07:38,18:40,Zakupy
Kobieta,32.0,Wyższe,11433.71,07:36,11:03,Edukacja
Kobieta,28.0,Wyższe,10559.23,09:03,12:50,Edukacja
Mężczyzna,38.0,Wyższe,5067.99,13:36,17:42,Rozrywka
Mężczyzna,62.0,Wyższe,7853.15,10:33,17:53,Praca
Kobieta,26.0,Podstawowe,13402.38,05:13,12:01,Rozrywka
Kobieta,51.0,Wyższe,13334.82,23:44,09:39,Zakupy
Mężczyzna,43.0,Wyższe,13088.61,10:43,13:21,Praca
Kobieta,36.0,Podstawowe,10382.08,12:42,15:20,Rozrywka
Kobieta,24.0,Podstawowe,14644.21,18:10,21:25,Zakupy
Mężczyzna,51.0,Wyższe,5794.94,19:01,23:02,Rozrywka
Mężczyzna,61.0,Średnie,3285.38,19:23,02:36,Praca
Kobieta,30.0,Wyższe,12438.46,12:19,18:47,Zakupy
Kobieta,40.0,Wyższe,6826.99,14:45,01:49,Praca
Kobieta,60.0,Średnie,5200.08,09:58,14:41,Praca
Mężczyzna,,,,06:57,,
Mężczyzna,20.0,Podstawowe,14394.34,07:17,09:24,Praca
Kobieta,47.0,Średnie,7596.33,12:27,20:36,Zakupy
Kobieta,64.0,Średnie,9515.22,06:14,09:39,Praca
Mężczyzna,42.0,Wyższe,14391.42,07:10,12:07,Inne
Mężczyzna,37.0,Podstawowe,12641.47,12:56,23:36,Edukacja
Kobieta,21.0,Podstawowe,14785.42,07:54,08:25,Inne
Mężczyzna,29.0,Podstawowe,12849.96,14:21,16:09,Praca
Mężczyzna,31.0,Podstawowe,3690.97,30:22,22:05,Rozrywka
Mężczyzna,53.0,Wyższe,12838.17,06:11,06:37,Praca
Kobieta,30.0,Średnie,3691.9,09:31,19:22,Praca
,,,,12:55,17:41,
Kobieta,64.0,Podstawowe,14525.28,22:37,,Praca
Kobieta,65.0,Średnie,6112.95,11:39,16:11,Rozrywka
Kobieta,68.0,Średnie,11055.81,13:04,16:29,Rozrywka
Kobieta,36.0,Podstawowe,4957.78,13:56,22:49,Zakupy
Mężczyzna,19.0,Średnie,3143.28,14:45,20:00,Rozrywka
Kobieta,45.0,Podstawowe,11320.33,09:53,13:00,Edukacja
Kobieta,53.0,Podstawowe,5404.99,10:29,18:42,
Mężczyzna,58.0,Wyższe,,08:13,08:54,Praca
Kobieta,63.0,Wyższe,13324.85,12:17,12:49,Inne
Mężczyzna,21.0,Wyższe,5783.9,10:57,13:20,Zakupy
Kobieta,48.0,Średnie,14488.57,05:41,07:12,Rozrywka
Mężczyzna,36.0,Podstawowe,3130.59,17:01,17:35,Edukacja
Kobieta,42.0,Podstawowe,5484.38,21:07,02:48,Zakupy
Mężczyzna,21.0,Średnie,3473.01,17:19,00:12,Zakupy
Mężczyzna,53.0,Podstawowe,3156.77,05:08,15:58,Edukacja
Kobieta,67.0,Średnie,4161.73,09:39,14:28,Rozrywka
Kobieta,50.0,Podstawowe,6580.95,07:32,09:46,Rozrywka
Mężczyzna,35.0,Średnie,6768.96,16:30,16:37,Inne
Mężczyzna,,Podstawowe,4515.83,07:01,09:15,Rozrywka
Kobieta,49.0,Wyższe,12548.96,13:08,20:32,Edukacja
Kobieta,65.0,Średnie,6020.21,22:27,02:40,Inne
Mężczyzna,38.0,Podstawowe,7441.64,21:05,04:17,Praca
Mężczyzna,50.0,Średnie,11394.1,21:07,02:14,Rozrywka
Kobieta,27.0,Wyższe,10736.61,14:06,00:44,Zakupy
Mężczyzna,31.0,Wyższe,6264.79,09:20,13:19,
Mężczyzna,26.0,Wyższe,9125.49,14:02,20:07,Zakupy
Kobieta,27.0,Podstawowe,5926.63,20:03,06:10,Rozrywka
Kobieta,65.0,Wyższe,13423.51,11:25,15:43,Praca
Kobieta,37.0,Średnie,7866.76,09:28,12:45,Praca
Mężczyzna,48.0,Podstawowe,11864.8,06:40,16:20,Edukacja
Mężczyzna,67.0,Podstawowe,4538.09,17:39,04:06,Zakupy
Kobieta,36.0,Wyższe,7012.88,07:40,18:09,Rozrywka
Mężczyzna,68.0,Podstawowe,3926.94,11:15,22:49,Inne
Kobieta,47.0,Wyższe,4520.24,17:04,01:54,Praca
Mężczyzna,29.0,Podstawowe,6216.12,21:35,22:02,Edukacja
Mężczyzna,61.0,Podstawowe,5877.46,17:12,23:33,Zakupy
Mężczyzna,19.0,Podstawowe,14544.85,10:22,16:33,Rozrywka
Mężczyzna,58.0,Podstawowe,4232.6,23:04,08:17,Zakupy
Mężczyzna,70.0,Średnie,3726.71,07:18,08:09,Praca
Kobieta,48.0,Wyższe,12323.45,13:00,18:39,Praca
Mężczyzna,41.0,Podstawowe,4501.09,05:36,09:40,Rozrywka
Mężczyzna,70.0,Średnie,14519.42,23:15,10:56,Zakupy
Kobieta,50.0,,13958.39,19:44,00:53,Inne
Mężczyzna,61.0,Średnie,14294.74,09:36,09:20,Inne
Kobieta,49.0,Wyższe,13101.83,11:40,19:09,Inne
Mężczyzna,57.0,Podstawowe,12679.89,19:39,19:15,Praca
Kobieta,42.0,Podstawowe,4783.2,16:11,18:11,Edukacja
Kobieta,67.0,Podstawowe,8951.19,08:25,16:48,Edukacja
Mężczyzna,39.0,Wyższe,6064.86,23:41,06:06,Praca
Kobieta,51.0,Średnie,8147.02,11:38,19:08,Zakupy
Mężczyzna,19.0,Wyższe,9557.75,23:41,05:52,Rozrywka
Mężczyzna,54.0,Podstawowe,5558.06,12:54,23:27,Edukacja
Kobieta,34.0,Podstawowe,7049.36,20:27,22:59,Zakupy
Mężczyzna,56.0,Podstawowe,10541.65,05:00,15:27,Zakupy
Kobieta,67.0,Średnie,7096.49,06:14,11:35,Zakupy
Mężczyzna,30.0,Podstawowe,12657.15,18:04,05:32,Zakupy
Kobieta,66.0,Wyższe,4366.02,06:39,11:19,Edukacja
Kobieta,47.0,Wyższe,12592.85,23:39,07:30,Edukacja
Mężczyzna,31.0,Średnie,9105.03,12:00,21:36,Praca
Mężczyzna,30.0,Podstawowe,14103.82,14:40,20:11,Edukacja
Mężczyzna,42.0,Wyższe,4323.57,12:39,15:59,Praca
Kobieta,49.0,Wyższe,10276.03,10:44,15:46,Rozrywka
Kobieta,26.0,Średnie,10747.02,19:11,19:49,Zakupy
Mężczyzna,66.0,Wyższe,13754.88,10:29,19:29,Praca
Mężczyzna,37.0,Wyższe,11019.08,13:02,19:10,Praca
Mężczyzna,69.0,Średnie,13626.06,19:56,19:12,Inne
Kobieta,60.0,Średnie,8823.64,22:38,23:41,Inne
Mężczyzna,49.0,Podstawowe,10929.43,17:22,18:42,Inne
Kobieta,22.0,Średnie,13326.93,22:38,04:15,Praca
Kobieta,52.0,Wyższe,14949.21,10:34,14:44,Rozrywka
Mężczyzna,37.0,Podstawowe,5205.14,22:49,09:06,Zakupy
Mężczyzna,22.0,Średnie,12636.25,22:34,22:14,Edukacja
Mężczyzna,69.0,Podstawowe,3164.69,21:52,07:18,Rozrywka
Kobieta,20.0,Średnie,10334.92,15:51,17:05,Inne
Mężczyzna,56.0,Podstawowe,7731.54,07:33,12:05,Edukacja
Kobieta,22.0,Wyższe,5368.53,24:41,22:01,Inne
Mężczyzna,69.0,Podstawowe,6204.0,08:52,11:25,Praca
Mężczyzna,18.0,Podstawowe,8176.54,21:41,01:54,Edukacja
Kobieta,46.0,Średnie,9068.91,18:06,18:36,Rozrywka
Mężczyzna,34.0,,13275.34,17:34,01:06,Praca
Mężczyzna,27.0,Podstawowe,14276.65,21:05,06:54,Inne
Kobieta,42.0,Podstawowe,8280.06,07:22,16:33,Praca
Kobieta,58.0,Wyższe,7699.43,17:13,20:22,Zakupy
Mężczyzna,22.0,Średnie,10836.26,17:23,22:09,Zakupy
Mężczyzna,44.0,Średnie,4852.34,07:53,20:26,Edukacja
Kobieta,49.0,Podstawowe,9319.78,17:33,00:42,Edukacja
Mężczyzna,22.0,Podstawowe,10962.78,18:02,01:55,Praca
Mężczyzna,68.0,Podstawowe,11785.17,18:26,19:50,Zakupy
Mężczyzna,29.0,Średnie,8119.75,17:51,23:18,Praca
Mężczyzna,58.0,Wyższe,6009.54,21:12,06:49,Rozrywka
Mężczyzna,69.0,Podstawowe,9507.55,18:20,05:21,Praca
Kobieta,64.0,Wyższe,10169.63,20:45,23:09,Rozrywka
Mężczyzna,29.0,Średnie,5002.36,06:23,17:37,Zakupy
Kobieta,34.0,Średnie,7054.59,07:25,10:07,Rozrywka
Mężczyzna,49.0,Wyższe,10624.97,09:01,19:34,Zakupy
Mężczyzna,51.0,Wyższe,9579.04,19:26,05:24,Zakupy
Kobieta,50.0,Średnie,11703.53,07:39,09:25,Edukacja
Mężczyzna,23.0,Średnie,5762.93,11:54,11:08,Rozrywka
Mężczyzna,44.0,Wyższe,3175.41,14:27,20:44,Edukacja
Kobieta,39.0,Wyższe,14872.8,16:28,21:23,Edukacja
,,Podstawowe,,28:55,,Praca
Mężczyzna,48.0,Średnie,9379.78,21:58,00:10,Praca
Kobieta,32.0,Średnie,3582.77,22:13,06:30,Edukacja
,,Wyższe,14599.8,17:28,06:46,
Mężczyzna,54.0,Podstawowe,12334.74,13:41,19:01,Zakupy
Kobieta,54.0,Wyższe,12432.75,19:45,20:04,Edukacja
Mężczyzna,54.0,Podstawowe,10864.22,14:33,16:06,Edukacja
Mężczyzna,30.0,Średnie,9055.6,05:25,07:17,Edukacja
Mężczyzna,38.0,Średnie,13132.71,09:04,20:39,Edukacja
Mężczyzna,39.0,Wyższe,3415.01,18:20,23:55,Inne
Kobieta,52.0,Średnie,6164.09,08:27,10:01,Praca
Mężczyzna,64.0,Podstawowe,12324.3,22:45,06:43,Rozrywka
Kobieta,30.0,Wyższe,12584.72,18:16,05:33,Zakupy
Kobieta,56.0,Podstawowe,4835.42,18:08,03:19,Edukacja
Kobieta,67.0,Wyższe,5024.51,09:52,18:26,Praca
Kobieta,54.0,Podstawowe,7385.57,09:17,10:49,Rozrywka
Mężczyzna,43.0,,5130.42,23:01,01:31,Praca
Mężczyzna,64.0,Wyższe,4979.18,05:48,15:46,Zakupy
Mężczyzna,66.0,Podstawowe,14315.76,13:18,00:52,Praca
Kobieta,68.0,Podstawowe,10961.43,17:38,18:48,Zakupy
Mężczyzna,26.0,Średnie,5788.54,22:37,09:05,Praca
Mężczyzna,70.0,Podstawowe,3060.83,16:40,01:09,Inne
Mężczyzna,64.0,Wyższe,10652.9,15:41,16:27,Zakupy
Kobieta,32.0,Średnie,12647.21,15:31,21:54,Praca
Mężczyzna,27.0,Wyższe,14758.21,23:04,06:05,Zakupy
Kobieta,55.0,Podstawowe,14454.56,14:37,22:07,Rozrywka
Kobieta,34.0,Wyższe,8286.0,19:24,04:44,Rozrywka
Kobieta,54.0,Podstawowe,10745.88,12:26,16:31,Inne
Kobieta,56.0,Wyższe,9017.21,19:07,00:01,Inne
Mężczyzna,21.0,Podstawowe,14417.36,07:01,18:05,Rozrywka
Mężczyzna,59.0,Średnie,11468.53,,01:11,Edukacja
Kobieta,40.0,Podstawowe,11619.0,17:33,22:08,Inne
Mężczyzna,30.0,Średnie,9880.81,19:18,22:07,Praca
Kobieta,26.0,Podstawowe,,15:29,04:45,Zakupy
Mężczyzna,63.0,Podstawowe,4550.1,15:53,01:38,Zakupy
Kobieta,39.0,Wyższe,6756.81,21:01,05:37,Rozrywka
Mężczyzna,31.0,Średnie,10498.73,,13:57,Edukacja
Mężczyzna,44.0,Średnie,13049.1,18:08,23:52,Inne
Kobieta,24.0,Podstawowe,6810.78,18:49,20:11,Rozrywka
,,,,06:03,10:41,
Mężczyzna,53.0,Podstawowe,7165.45,16:04,18:09,Edukacja
Mężczyzna,24.0,Wyższe,9000.13,11:13,21:46,Edukacja
Kobieta,60.0,Średnie,7209.78,17:25,18:56,Edukacja
Kobieta,40.0,Wyższe,11406.64,11:01,21:59,Zakupy
,,,6921.44,15:37,,
Kobieta,37.0,Podstawowe,12022.05,06:58,17:03,Inne
Kobieta,42.0,Podstawowe,3761.44,23:56,06:14,Edukacja
Mężczyzna,55.0,Podstawowe,10139.53,19:00,01:31,Rozrywka
Mężczyzna,21.0,Wyższe,5217.03,07:11,07:55,Inne
Mężczyzna,56.0,Wyższe,9754.4,07:12,11:58,Rozrywka
Kobieta,64.0,Wyższe,14246.08,05:31,11:15,Inne
Kobieta,38.0,Średnie,9044.92,23:07,07:30,Zakupy
Kobieta,67.0,Podstawowe,13796.47,14:34,15:26,Rozrywka
Kobieta,69.0,Podstawowe,7864.11,05:54,07:40,Praca
Mężczyzna,51.0,Średnie,11271.11,20:54,23:11,Edukacja
Mężczyzna,28.0,Podstawowe,5073.93,13:32,18:32,Rozrywka
Kobieta,23.0,Podstawowe,10081.26,17:14,22:41,Zakupy
Mężczyzna,40.0,Podstawowe,10569.93,12:42,19:42,Zakupy
Mężczyzna,28.0,Średnie,4909.41,12:41,14:58,Inne
Mężczyzna,33.0,Średnie,10544.48,10:39,17:59,Inne
Kobieta,68.0,Średnie,5938.94,19:45,03:39,Zakupy
Kobieta,50.0,Podstawowe,10423.46,17:39,03:36,Edukacja
Kobieta,18.0,Średnie,10548.18,20:34,20:21,Edukacja
Kobieta,23.0,Średnie,9441.67,17:56,22:01,Edukacja
Kobieta,38.0,Podstawowe,6653.6,23:30,00:55,Edukacja
Kobieta,70.0,Średnie,5833.62,23:27,12:32,Praca
Mężczyzna,62.0,Wyższe,11558.93,22:29,01:47,Praca
Kobieta,53.0,Podstawowe,5834.74,07:34,18:39,Zakupy
Mężczyzna,37.0,Średnie,3978.64,18:42,01:38,Zakupy
Mężczyzna,61.0,Podstawowe,10067.3,20:13,07:30,Praca
Kobieta,62.0,Średnie,9575.1,17:01,03:37,Praca
Kobieta,24.0,Średnie,11201.03,10:53,10:26,Inne
